Diameter,Depth (nm),Depth (um),Aspect Ratio
0.394028186,7.25,0.00725,0.018399699
0.149891963,6.75,0.00675,0.045032434
0.218446223,1.85,0.00185,0.008468904
0.140087802,4.6,0.0046,0.032836549
0.140087802,5.75,0.00575,0.041045687
0.171264141,4.35,0.00435,0.025399363
0.366030943,6.6,0.0066,0.018031262
0.355127744,11,0.011,0.030974769
0.345325379,8.2,0.0082,0.023745721
0.375432934,5.8,0.0058,0.015448831
0.348393702,7.45,0.00745,0.021383854
0.363502493,5.7,0.0057,0.015680773
0.330000015,4.6,0.0046,0.013939393
0.26831107,9.55,0.00955,0.035593015
0.171264141,4.55,0.00455,0.026567149
0.443403201,7.7,0.0077,0.017365684
0.341694378,4.95,0.00495,0.01448663
0.325003328,13.15,0.01315,0.040461124
0.327192973,5.75,0.00575,0.017573727
0.17302334,4.15,0.00415,0.023985203
0.147389879,5,0.005,0.033923632
0.342915252,9.15,0.00915,0.026682978
0.387245482,7.85,0.00785,0.020271379
0.203978427,5.5,0.0055,0.026963636
0.255256809,9.65,0.00965,0.037805064
0.351071732,5.55,0.00555,0.015808735
0.335282981,9.95,0.00995,0.029676424
0.140087802,2.35,0.00235,0.016775194
0.16950241,4.6,0.0046,0.027138257
0.304792163,10.15,0.01015,0.033301381
0.203978427,4.9,0.0049,0.024022148
0.425197315,9.45,0.00945,0.022224976
0.259798109,6.65,0.00665,0.025596799
0.359880306,8.2,0.0082,0.022785354
0.384379809,6.15,0.00615,0.0159998
0.34296023,10.4,0.0104,0.030324216
0.242379521,9.6,0.0096,0.039607307
0.222407147,4.55,0.00455,0.020457976
0.359852551,5.85,0.00585,0.016256658
0.237,5.5,0.0055,0.023206751
0.41170342,8.55,0.00855,0.020767377
0.182473711,2.3,0.0023,0.012604555
0.424105589,7.45,0.00745,0.01756638
0.156551564,3.3,0.0033,0.021079317
0.171264141,8.15,0.00815,0.047587311
0.301941882,9.15,0.00915,0.030303845
0.343851724,8.95,0.00895,0.026028661
0.246069989,12.5,0.0125,0.050798555
0.293787255,11.2,0.0112,0.038122825
0.336323739,4.65,0.00465,0.013825964
0.368487585,7.45,0.00745,0.020217777
0.172279392,3.6,0.0036,0.020896289
0.166072962,4.2,0.0042,0.025290089
0.358175951,8.5,0.0085,0.023731353
0.251288087,7.1,0.0071,0.028254423
0.140087802,3.1,0.0031,0.022128979
0.421157374,8.35,0.00835,0.019826318
0.243297957,5.45,0.00545,0.022400517
0.205807433,10.1,0.0101,0.049075001
0.317194106,8,0.008,0.02522115
0.205807433,4.8,0.0048,0.023322773
